epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,438.638,1.83348,4.05199,1.5261,0.02894,0.58091,0.0603,0.0323,1.69489,3.83139,1.39458,0.000164021,0.000164021,0.000164021
2,846.302,1.76899,3.0691,1.42769,0.21661,0.271,0.17509,0.1018,1.8261,2.93387,1.53875,0.00032414,0.00032414,0.00032414
3,1220.84,1.7827,2.59563,1.4419,0.29002,0.34772,0.25086,0.15166,1.77414,2.5158,1.49237,0.000477659,0.000477659,0.000477659
4,1579.54,1.71816,2.37637,1.39885,0.37774,0.35657,0.3233,0.18872,1.78114,2.31966,1.49473,0.0004703,0.0004703,0.0004703
5,1993.17,1.69872,2.18008,1.37706,0.3609,0.41536,0.3458,0.20191,1.73552,2.20385,1.48041,0.0004604,0.0004604,0.0004604
6,2412.85,1.71515,2.07058,1.36997,0.45665,0.40901,0.39669,0.23883,1.71449,2.06549,1.43555,0.0004505,0.0004505,0.0004505
7,2816.89,1.64115,1.944,1.35485,0.48671,0.44307,0.42132,0.25166,1.68995,2.07328,1.43225,0.0004406,0.0004406,0.0004406
8,3226.27,1.63541,1.87438,1.35633,0.6114,0.40364,0.46701,0.28121,1.71004,1.88244,1.43767,0.0004307,0.0004307,0.0004307
9,3644.75,1.61616,1.78226,1.32602,0.60028,0.42602,0.47545,0.28118,1.68073,1.89545,1.42091,0.0004208,0.0004208,0.0004208
10,4055.09,1.60462,1.74614,1.3381,0.53018,0.49537,0.49641,0.29119,1.68577,1.88135,1.43317,0.0004109,0.0004109,0.0004109
11,4460.31,1.58124,1.6502,1.30126,0.61859,0.50238,0.53461,0.32762,1.67498,1.75316,1.38702,0.000401,0.000401,0.000401
12,4869.59,1.55453,1.60902,1.29806,0.66237,0.51793,0.57289,0.36259,1.66782,1.76186,1.39316,0.0003911,0.0003911,0.0003911
13,5273.79,1.56737,1.61349,1.29949,0.67322,0.52805,0.57698,0.35443,1.68387,1.72272,1.40463,0.0003812,0.0003812,0.0003812
14,5651.52,1.56266,1.54346,1.28183,0.69421,0.55722,0.59755,0.38267,1.62699,1.64567,1.38174,0.0003713,0.0003713,0.0003713
15,6000.73,1.51219,1.54469,1.28929,0.68392,0.57236,0.60931,0.38247,1.62563,1.63214,1.39258,0.0003614,0.0003614,0.0003614
